Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,High_Value_Flag,Verified Price per Unit
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,1,500.0
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,1,500.0
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,0,25.0
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,0,50.0
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,0,50.0
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,0,30.0
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,1,500.0
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,0,25.0
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,0,25.0
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,1,300.0
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,0,50.0
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,0,30.0
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,1,300.0
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,0,50.0
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,0,30.0
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,0,25.0
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,1,300.0
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,1,300.0
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,0,25.0
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,1,300.0
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,1,300.0
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,0,50.0
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,0,25.0
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,1,300.0
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,0,50.0
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,1,500.0
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,0,30.0
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,0,50.0
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,1,500.0
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,0,30.0
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,1,300.0
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,1,300.0
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,0,25.0
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,0,50.0
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,1,300.0
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,1,300.0
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,1,500.0
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,1,500.0
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,0,30.0
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,0,50.0
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,1,500.0
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,0,50.0
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,0,30.0
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,0,25.0
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,1,500.0
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,0,25.0
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,0,50.0
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,0,50.0
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,0,25.0
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,0,50.0
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,0,30.0
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,0,25.0
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,0,50.0
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,0,25.0
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,0,50.0
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,0,50.0
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,0,30.0
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,0,50.0
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,1,300.0
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,1,500.0
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,0,50.0
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,1,300.0
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,0,25.0
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,1,300.0
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,0,30.0
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,1,300.0
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,0,25.0
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,0,50.0
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,0,50.0
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,0,25.0
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,0,50.0
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,0,30.0
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,1,300.0
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,0,50.0
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,1,300.0
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,1,500.0
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,0,25.0
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,0,25.0
