Unnamed: 0,CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Date,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct,Product_Gender,Is_Outerwear
2172,17850.0,M,Chicago,12.0,16704.0,2019-01-01,GGOEGAPB058615,Google Women's Yoga Jacket Black,Apparel,1.0,108.31,6.5,Used,0.18,1/1/2019,4500.0,2424.5,1,SALE10,10.0,Women,True
2174,17850.0,M,Chicago,12.0,16715.0,2019-01-01,GGOEYAFB073115,YouTube Men's Fleece Hoodie Black,Apparel,1.0,57.76,6.5,Used,0.18,1/1/2019,4500.0,2424.5,1,SALE10,10.0,Men,True
2179,12583.0,M,Chicago,33.0,16693.0,2019-01-01,GGOEGATB060415,Google Women's Quilted Insulated Vest Black,Apparel,1.0,61.89,6.5,Clicked,0.18,1/1/2019,4500.0,2424.5,1,SALE10,10.0,Women,True
2185,12583.0,M,Chicago,33.0,16695.0,2019-01-01,GGOEGAFJ036214,Google Men's Pullover Hoodie Grey,Apparel,1.0,42.91,6.5,Clicked,0.18,1/1/2019,4500.0,2424.5,1,SALE10,10.0,Men,True
2189,15291.0,M,California,32.0,16726.0,2019-01-01,GGOEGAPB058214,Google Women's Lightweight Microfleece Jacket,Apparel,1.0,61.89,6.5,Clicked,0.18,1/1/2019,4500.0,2424.5,1,SALE10,10.0,Women,True
2194,17850.0,M,Chicago,12.0,16887.0,2019-01-03,GGOEGAFJ036216,Google Men's Pullover Hoodie Grey,Apparel,1.0,53.64,35.3,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Men,True
2195,12431.0,F,New Jersey,14.0,16820.0,2019-01-03,GGOEGADJ059714,Google Men's Quilted Insulated Vest Battleship Grey,Apparel,1.0,61.89,6.5,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Men,True
2196,12431.0,F,New Jersey,14.0,16820.0,2019-01-03,GGOEYAEJ033516,YouTube Men's Long Sleeve Pullover Badge Tee Heather,Apparel,1.0,28.88,6.5,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Men,True
2197,17511.0,F,Chicago,25.0,16832.0,2019-01-03,GGOEGADJ059413,Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Apparel,1.0,61.89,6.5,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Men,True
2213,15862.0,F,California,24.0,16936.0,2019-01-03,GGOEGADC059516,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Apparel,1.0,61.89,6.5,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Men,True
2216,15862.0,F,California,24.0,16936.0,2019-01-03,GGOEGAFB035816,Google Men's  Zip Hoodie,Apparel,1.0,46.21,6.5,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Men,True
2217,15862.0,F,California,24.0,16936.0,2019-01-03,GGOEGATC060314,Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Apparel,1.0,53.64,6.5,Used,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Women,True
2219,15862.0,F,California,24.0,16937.0,2019-01-03,GGOEGAPB057814,Women's Performance Full Zip Jacket Black,Apparel,1.0,99.03,6.5,Clicked,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Women,True
2220,15862.0,F,California,24.0,16937.0,2019-01-03,GGOEGAQJ058714,Google Women's Zip Hoodie Grey,Apparel,1.0,115.53,6.5,Not Used,0.18,1/3/2019,4500.0,1576.38,1,SALE10,10.0,Women,True
