gender_label,unit_price,source
Men,17.53,D1_ProductLabel
Men,19.59,D1_ProductLabel
Women,108.31,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,57.76,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,14.02,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,61.89,D1_ProductLabel
Men,16.5,D1_ProductLabel
Men,14.02,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,15.67,D1_ProductLabel
Men,42.91,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,61.89,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,22.69,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,53.64,D1_ProductLabel
Men,61.89,D1_ProductLabel
Men,28.88,D1_ProductLabel
Men,61.89,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,14.02,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,17.53,D1_ProductLabel
Women,19.59,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,61.89,D1_ProductLabel
Women,15.67,D1_ProductLabel
Men,46.21,D1_ProductLabel
Women,53.64,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,99.03,D1_ProductLabel
Women,115.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,20.62,D1_ProductLabel
Men,20.62,D1_ProductLabel
Men,77.36,D1_ProductLabel
Men,72.2,D1_ProductLabel
Men,113.47,D1_ProductLabel
Men,77.36,D1_ProductLabel
Men,77.36,D1_ProductLabel
Women,19.59,D1_ProductLabel
Men,77.36,D1_ProductLabel
Men,46.21,D1_ProductLabel
Men,18.15,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,90.77,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,16.5,D1_ProductLabel
Men,61.89,D1_ProductLabel
Women,46.21,D1_ProductLabel
Women,61.89,D1_ProductLabel
Women,53.64,D1_ProductLabel
Men,61.89,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,19.8,D1_ProductLabel
Women,90.77,D1_ProductLabel
Men,57.76,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,61.89,D1_ProductLabel
Men,61.89,D1_ProductLabel
Women,61.89,D1_ProductLabel
Women,61.89,D1_ProductLabel
Men,20.62,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,53.64,D1_ProductLabel
Men,53.64,D1_ProductLabel
Women,61.89,D1_ProductLabel
Men,16.5,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Women,17.53,D1_ProductLabel
Men,20.62,D1_ProductLabel
Men,18.15,D1_ProductLabel
Women,57.76,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,53.64,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,16.5,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,16.69,D1_ProductLabel
Men,15.67,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,46.21,D1_ProductLabel
Men,61.89,D1_ProductLabel
Men,16.5,D1_ProductLabel
Men,57.76,D1_ProductLabel
Men,14.02,D1_ProductLabel
Women,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,99.03,D1_ProductLabel
Women,19.59,D1_ProductLabel
Women,19.59,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,28.88,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,57.76,D1_ProductLabel
Men,14.02,D1_ProductLabel
Women,19.8,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,46.21,D1_ProductLabel
Women,46.21,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,46.21,D1_ProductLabel
Men,16.5,D1_ProductLabel
Women,46.21,D1_ProductLabel
Women,15.67,D1_ProductLabel
Men,17.53,D1_ProductLabel
Women,17.53,D1_ProductLabel
Women,46.21,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,113.47,D1_ProductLabel
Men,57.76,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,15.67,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,15.67,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,90.77,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,81.7,D1_ProductLabel
Men,45.38,D1_ProductLabel
Women,14.02,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,36.1,D1_ProductLabel
Women,14.02,D1_ProductLabel
Women,16.5,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,19.59,D1_ProductLabel
Women,15.67,D1_ProductLabel
Women,46.21,D1_ProductLabel
Men,14.02,D1_ProductLabel
Men,61.89,D1_ProductLabel
Men,46.21,D1_ProductLabel
Women,86.65,D1_ProductLabel
Women,86.65,D1_ProductLabel
Women,90.77,D1_ProductLabel
Women,46.21,D1_ProductLabel
Women,46.21,D1_ProductLabel
Women,15.67,D1_ProductLabel
Men,17.53,D1_ProductLabel
Men,15.67,D1_ProductLabel
Men,19.59,D1_ProductLabel
Men,16.5,D1_ProductLabel
Men,46.21,D1_ProductLabel
Men,46.21,D1_ProductLabel
